FBgn_ID,Gene_Symbol,Summary
FBgn0036005,pall,"pallbearer (pall) encodes an F-Box protein. In response to apoptosis, it translocates from the nucleus to the cytoplasm of macrophages to promote apoptotic cell clearance by degrading the product of RpS6, and promote actin remodeling through activation of the product of Rac2."
FBgn0011327,Uch-L5,"Ubiquitin carboxy-terminal hydrolase L5 (Uch-L5) encodes a component of the 26S proteasome, which degrades polyubiquitinated proteins in the cytoplasm and nucleus."
FBgn0035997,phol,"pleiohomeotic like (phol) encodes a zinc-finger protein that is 80% identical in the zinc-finger region to the product of pho. The product of phol plays a role in Polycomb group protein recruitment to Polycomb response elements, but it has additional roles, most likely as a transcriptional activator."
FBgn0005533,RpS17,"Ribosomal protein S17 (RpS17) encodes an essential component of the ribosomal 40S subunit. RpS17 mutants have dominant, haploinsufficient effects on cellular and organismal growth rate, and on bristle size."
FBgn0015218,eIF4E1,eukaryotic translation initiation factor 4E1 (eIF4E1) encodes a component of the eIF4F cap-binding complex that is essential for cap-dependent translation of mRNA. The product of eIF4E1 binds the 7-methyl-guanosine cap structure of mRNA.
FBgn0001225,Hsp26,Heat shock protein 26 (Hsp26) encodes a protein involved in protein folding. It contributes to lifespan determination and the response to cold and heat.
FBgn0001229,Hsp67Bc,"Heat shock gene 67Bc (Hsp67Bc) encodes a small heat shock protein (hsp) that binds to the product encoded by stv to regulate protein lipidation. The product of Hsp67Bc also induces the phosphorylation of eIF2alpha protein and stimulates autophagy, thereby facilitating the clearance of misfolded proteins. Hsp67Bc expression can be regulated by the product of pcm."
FBgn0004379,Klp67A,Kinesin-like protein at 67A (Klp67A) encodes a microtubule motor protein involved in chromosome congression and mitotic spindle morphogenesis.
FBgn0035968,Slc45-1,Solute carrier family 45 member 1 (Slc45-1) encodes a proton/sucrose symporter occuring in apical membranes of the late embryonic hindgut as well as in vesicular membranes of ovarian follicle cells. It may either serve as an osmolyte transporter or be responsible for the resorption of sucrose.
FBgn0035993,Nf-YA,"Nuclear factor Y-box A (Nf-YA) encodes a subunit of the nuclear transcription factor Y (NF-Y), also known as the CCAAT motif-binding factor (CBF). It is involved in eye and thorax development via gene expression regulation."
FBgn0040321,GNBP3,Gram-negative bacteria binding protein 3 (GNBP3) encodes a hemolymphatic protein involved in the sensing of glucan (a fungal cell wall component) upstream of the Toll pathway.
FBgn0011787,mRpL12,mitochondrial ribosomal protein L12 (mRpL12) encodes a protein required for Cyclin D/Cdk4-driven cell growth.
FBgn0035954,Doc3,"Dorsocross3 (Doc3) encodes one of the three tissue-specific T-box transcription factors encoded by the Dorsocross cluster. It is crucial for completion of differentiation, cell proliferation arrest and survival of amnioserosa cells, as well as for cardiogenesis and the patterning and morphogenesis of particular ectodermal derivatives."
FBgn0028789,Doc1,"Dorsocross1 (Doc1) encodes one of the three tissue-specific T-box transcription factors encoded by the Dorsocross cluster. It is crucial for completion of differentiation, cell proliferation arrest and survival of amnioserosa cells, as well as for cardiogenesis and the patterning and morphogenesis of particular ectodermal derivatives."
FBgn0004244,Rdl,"Resistant to dieldrin (Rdl) encodes a widely-expressed ligand-gated chloride channel which mediates the fast inhibitory effects of GABA. It has been shown to have roles in the circuits underlying visual processing, odor coding, learning and memory, sleep and courtship behavior."
FBgn0011206,bol,boule (bol) encodes a translational regulator required in spermatogenesis for entry into meiosis and spermatid differentiation. It has an additional role in mushroom body gamma neurons as a negative regulator of axon pruning.
FBgn0016070,smg,"smaug (smg) encodes the founding member of the SMAUG family of sequence-specific RNA-binding proteins. During the maternal-to-zygotic transition in early embryos, the smg product inhibits the translation and induces the degradation of hundreds of maternal mRNAs by recruitment of the CCR4-NOT deadenylase complex, thereby controlling embryonic patterning, activation of zygotic transcription, and early embryonic cell cycles."
FBgn0020633,Mcm7,"Minichromosome maintenance 7 (Mcm7) encodes a component of the MCM2-7 hexamer, which forms part of the CMG complex, together with CDC45L and GINS proteins. CMG complex is the main DNA helicase that functions during DNA replication."
FBgn0035934,TrpA1,"Transient receptor potential cation channel A1 (TrpA1) encodes a cation channel activated by warming and by reactive chemicals. Its roles include the control of thermotaxis at innocuous temperatures, as well as thermal and chemical nociception in response to noxious heat and chemical exposure."
FBgn0003149,Prm,"Paramyosin (Prm) encodes a muscle protein found only in invertebrates. It dimerizes into a coiled-coil that occupies the interior of the thick filament. Its role is thought to be structural, although it can be phosphorylated and this is important for muscle function."
FBgn0011509,SrpRbeta,Signal recognition particle receptor beta (SrpRbeta) encodes a protein that contributes to cuticle secretion by epidermal cells.
FBgn0000121,Arr2,Arrestin 2 (Arr2) encodes a protein involved in rhodopsin inactivation that contributes to photoreceptor maintenance and smell and sound perception.
FBgn0035876,Pex2,Peroxin 2 (Pex2) encodes a peroxisome protein important for sperm development.
FBgn0011762,Prim1,"DNA primase subunit 1 (Prim1) encodes a subunit of the DNA-polymerase alpha complex that, together with the subunit encoded by Prim2, is responsible for primase activity (synthesis of short RNA primers). This activity is required during DNA replication to prime DNA synthesis at origins, and also on the lagging strand during Okazaki fragment synthesis."
FBgn0001253,ImpE1,Ecdysone-inducible gene E1 (ImpE1) encodes a protein similar to a low-density lipoprotein (LDL) receptor. It is hypothesized to play a role in the cell rearrangements associated with morphogenesis of the disc epithelium. ImpE1 transcription is upregulated by 20-hydroxyecdysone.
FBgn0010431,mtrm,"matrimony (mtrm) is a haploinsufficient gene expressed solely during oogenesis. While mtrm null females are sterile, heterozygotes are fertile but display high levels of achiasmate chromosome missegregation during meiosis I. The mtrm product binds to and inhibits the kinase encoded by polo in a dosage-dependent manner."
FBgn0020224,Cbl,"Cbl proto-oncogene (Cbl) encodes an E3 protein-ubiquitin ligase for protein post-translational modification in RTK signaling (EGFR, VEGFR, FGF, and RET families) and non-RTK signaling (Src family). After the ubiquitination mediated by the product of Cbl, the substrates will be targeted to protein degradation for controlling cell growth, survival, migration and inflammation."
FBgn0010825,Gug,Grunge (Gug) encodes a nuclear repressor protein that likely responds to Egfr signaling to control cell behavior for normal developmental patterning.
FBgn0035904,GstO3,Glutathione S transferase O3 (GstO3) encodes a transferase involved in glutathione metabolism.
FBgn0260442,rhea,"rhea (rhea) encodes fly talin, a large adaptor protein that is essential for all adhesive functions of integrins. It also has at least one role independent of integrins: repressing shg transcription in follicle cells."
FBgn0035918,Cdc6,"Cell division cycle 6 (Cdc6) encodes an essential component of the pre-Replication complex (preRC) together with the origin recognition complex, the product of dup and MCM2-7 proteins. The preRC is present at all chromosomal origins of replication and is required for the initiation of DNA replication. The product of Cdc6 also functions in the co-ordination of DNA replication with mitosis, and may contribute to apoptosis and transcription."
FBgn0035916,GAPsec,"GTPase activating protein, SECIS-dependent read-through (GAPsec) encodes GTPase-activating protein involved in translational readthrough."
FBgn0017430,Nelf-E,"Negative elongation factor E (Nelf-E) encodes one of four subunits that constitutes the NELF complex, which along with the product of spt4 causes the promoter proximal pause of the RNA polymerase II."
FBgn0035907,GstO1,Glutathione S transferase O1 (GstO1) encodes a transferase involved in glutathione metabolism.
FBgn0035906,GstO2,Glutathione S transferase O2 (GstO2) encodes a protein involved in glutathione metabolism.
FBgn0001248,Idh,"Isocitrate dehydrogenase (Idh) encodes a cytosolic enzyme that catalyzes the oxidative decarboxylation of isocitrate to 2-oxoglutarate, with the concomitant reduction of NADP[+] to NADPH. It functions, along with Men, G6pd, and Pgd, in a small network of NADP reducing enzymes."
FBgn0026252,msk,"moleskin (msk) encodes an importin that contributes to protein import into the nucleus. It is involved in eye development, muscle attachment and wing cell fate specification."
FBgn0010350,Cds,"CDP-diacylglycerol synthase (Cds) encodes an enzyme for the synthesis of cytidine diphosphate diacylglycerol (CDP-DAG) from phosphatidic acid. CDP-DAG is the precursor of two phospholipids, phosphatidylinositol and phosphatidylglycerol. The product of Cds has roles in cell growth and lipid storage."
FBgn0002899,mus301,"mutagen-sensitive 301 (mus301) encodes a member of the Mus308 subfamily of ATP-dependent helicases. It is involved in the repair of double-strand DNA breaks during recombination and in somatic cells, and in chromosome segregation. It contributes to dorsal-ventral patterning during oogenesis and posterior oocyte positioning."
FBgn0035850,Atg18a,Autophagy-related 18a (Atg18a) encodes a protein that regulates autophagy by participating in isolation membrane elongation around cytoplasmic cargoes.
FBgn0027569,cert,ceramide transfer protein (cert) encodes a protein that transfers ceramide from the endoplasmic reticulum to the Golgi apparatus where ceramide is used for the biosynthesis of ceramide-derived sphingolipids.
FBgn0052364,tut,tumorous testis (tut) encodes an RNA-binding protein that forms a complex with the products of bam and bgcn. It is required for the restrained mitotic amplification of germ cells during spermatogenesis.
FBgn0035849,ERR,"estrogen-related receptor (ERR) encodes a protein that directly induces a transcriptional switch in mid-embryogenesis, up-regulating the genes that act in biosynthetic pathways associated with aerobic glycolysis. This nuclear receptor establishes the metabolic state that supports growth during larval stages."
FBgn0040290,RecQ4,"RecQ4 helicase (RecQ4) encodes an important protein for genome stability and DNA metabolism. It can utilize energy from ATP hydrolysis to help the DNA strand separation and exchange, playing a critical role in replication and repair."
FBgn0029113,Uba2,Ubiquitin-like activating enzyme 2 (Uba2) encodes one of two subunits (along with the product of Aos1) of the heterodimeric SUMO activating enzyme. It contains the catalytic cysteine residue that first becomes adenylated using ATP and that then forms a thioester linkage to the C-terminal end of SUMO.
FBgn0035823,eIF4E5,eukaryotic translation initiation factor 4E5 (eIF4E5) encodes a protein in translational initiation.
FBgn0041156,exex,"extra-extra (exex) encodes a homeodomain transcription factor that is expressed in and regulates the differentiation of motor neurons that project axons to ventral body wall muscles. Within the central nervous system, the product of exex negatively interacts with the products of Lim3 and eve to govern neuronal specification and differentiation. The roles of the product of exex include neuronal specification and differentiation."
FBgn0011817,nmo,"nemo (nmo) encodes an atypical proline-directed serine/threonine kinase with roles in numerous developmental processes, including ommatidial rotation/planar cell polarity, retinal specification and neuronal function, and circadian clock speed. It regulates the activity of several signal transduction pathways, including BMP, Wnt, and Notch, and is implicated in fly models of neurodegenerative diseases."
FBgn0035829,HP4,Heterochromatin protein 4 (HP4) encodes a component of classical heterochromatin that is involved in gene silencing by heterochromatin.
FBgn0024187,syd,sunday driver (syd) encodes a member of a family of scaffolding proteins that bind to JNK and facilitate its activation. syd is an organ size regulator that functions in Hippo signaling and is essential for Diap1 protein stability and function.
FBgn0003041,pbl,"pebble (pbl) encodes a Rho guanine nucleotide exchange factor that contributes to multiple processes involving actin cytoskeleton reorganization, including cytokinesis, axogenesis and wound healing as well as cell shape regulation and cell migration during gastrulation."
FBgn0016694,Pdp1,PAR-domain protein 1 (Pdp1) encodes a member of the PAR domain bZip family of sequence-specific transcription factors. it regulates gene expression in muscles and in circadian clock neurons.
FBgn0028582,lqf,"liquid facets (lqf) encodes an epsin, which is an endocytic adaptor that contributes to endocytic network stability/regulation and membrane bending. It contributes to endocytosis and regulates the BMP and Notch signaling pathways."
FBgn0035798,frac,faulty attraction (frac) encodes an extracellular matrix protein that acts via an LIMK1- dependent BMP pathway to promote axon target recognition. The product of frac might be a proteolytic substrate of the matrix metalloproteinase encoded by Mmp2.
FBgn0035806,PGRP-SD,Peptidoglycan recognition protein SD (PGRP-SD) encodes a secreted member of the peptidoglycan recognition protein of from Gram negative bacteria. It is a positive regulator of the Imd pathway by promoting the recognition of peptidoglycan.
FBgn0016036,mei-P22,meiotic P22 (mei-P22) encodes a protein thought to form a dimer with the TopoVIA subunit encoded by mei-W68 and is required for meiotic double strand breakes in female meiosis.
FBgn0002909,mus312,"mutagen-sensitive 312 (mus312) is a scaffolding protein that interacts with at least three structure-selective endonucleases (encoded by mei-9-Ercc1, mus81-mms4, and slx1). It is involved in DNA repair and meiotic recombination pathways."
FBgn0019662,qm,"quemao (qm) encodes the ortholog of human geranylgeranyl pyrophosphate synthase (GGPS1), which catalyses protein prenylation and thereby facilitates membrane targeting of proteins. The qm product contributes to heart formation, germ cell migration, and maintenance of plasma membrane integrity in growing oocytes."
FBgn0035785,ppk26,"pickpocket 26 (ppk26) encodes a member of the Degenerin/epithelial sodium channel family. In the larva, it regulates locomotion behavior and participates in mechanical nociception together with the product of ppk."
FBgn0052382,sphinx2,"sphinx2 (sphinx2) encodes a protein related to the serine protease homolog, which is strongly expressed in the male accessory gland."
FBgn0052383,sphinx1,"sphinx1 (sphinx1) encodes a protein related to the serine protease homolog, which is strongly expressed in the male accessory gland."
FBgn0014011,Rac2,"Rac2 (Rac2) encodes a GTPase signaling protein that acts as a molecular switch, regulating cell shape, movement, division, and wound healing. It responds to signals from RTK and PIP3 pathways, activating the WAVE regulatory complex. This promotes the formation of branched actin filaments, helping cells move and change shape."
FBgn0035770,pst,pastrel (pst) encodes a protein involved in long-term memory and protein secretion.
FBgn0035769,CTCF,"CTCF (CTCF) encodes a ubiquitous transcription factor that binds to insulators and domain boundaries. It mediates insulator function and blocks enhancers by binding to the product of Cp190. It contributes to long-range chromatin interaction, organizes chromatin domain boundaries and coordinates nuclear architecture."
FBgn0012058,Cdc27,"Cell division cycle 27 (Cdc27) encodes a component of the anaphase-promoting complex/cyclosome (APC/C). It is important for substrate recruitment and interacts with its co-activators, encoded by fzy and fzr, as well as the mitotic checkpoint proteins, encoded by mad2 and BubR1."
FBgn0029117,Surf1,"Surfeit 1 (Surf1) encodes a nuclear gene encoding a protein that might be involved in the assembly of the mitochondrial respiratory chain Cytochrome Oxidase (COX or Complex IV). Mutations in its human ortholog Surf1 are related to Leigh Syndrome with COX deficiency (LScox). Surf1 RNAi knockdown produces many of the hallmark signs of LScox, albeit with a more complex biochemical profile."
FBgn0023001,melt,melted (melt) encodes an evolutionarily conserved modulator of the insulin/PI3K signaling pathway. It also plays a post-mitotic role in R8 photoreceptor cells in the bistable choice of rhodopsin expression.
FBgn0002775,msl-3,"male-specific lethal 3 (msl-3) encodes a chromodomain protein, reported to interact with H3K36me3, H4K20me1 and DNA. It is a member of the Male-Specific-Lethal dosage compensation complex, which increases male X chromosome transcription approximately two-fold. Homozygous mutant males die as larvae, while females are viable."
FBgn0035725,Mis12,Mis12 (Mis12) encodes a protein involved in chromosome movement and metaphase plate congression during mitosis.
FBgn0041194,Prat2,"Phosphoribosylamidotransferase 2 (Prat2) encodes a type-2 glutamine amidotransferase that is essential in the pathway for de novo synthesis of inosine monophosphate (IMP). IMP is the precursor for purine nucleotides that are required for nucleic acids, energy transfer, cell signaling, and coenzymes."
FBgn0035713,velo,veloren (velo) encodes a SUMO protease that is required for dendrite and axon targeting of olfactory projection neurons.
FBgn0005626,ple,"pale (ple) encodes a tyrosine hydroxylase, the first and rate-limiting step in the synthesis of dopamine (and eventually, melanin). Dopamine has critical roles in system development."
FBgn0035709,eIF4E4,eukaryotic translation initiation factor 4E4 (eIF4E4) encodes a protein involved in translational initiation.
FBgn0020251,sfl,"sulfateless sfl encodes a heparan sulfate-glucosamine N-sulfotransferase that catalyzes both the N-deacetylation and the N-sulfation of N-acetyl-glucosamine (GlcNAc) of the heparan sulfate glycosaminoglycan chain. It is involved in the first step in heparan sulfate modification and is required for subsequent sulfotransferase reactions at the 2-O position of iduronate or glucuronate, and the 6-O-position of glucosamine."
FBgn0042185,MCU,"Mitochondrial calcium uniporter (MCU) encodes an inner mitochondrial membrane channel that transports calcium from the mitochondrial intermembrane space to the matrix. It is the main component of the mitochondrial calcium signaling pathway and functions in metabolism, cell death, and olfactory memory."
FBgn0002926,ndl,nudel (ndl) encodes a multi-functional protein with serine protease activity. It is required for both eggshell biogenesis and embryonic dorsoventral patterning.
FBgn0024921,Tnpo,Transportin (Tnpo) encodes a protein involved in Hh signalling regulation by mediating the import of the transcription factor encoded by ci into the nucleus.
FBgn0041625,Or65a,Odorant receptor 65a (Or65a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0001258,Ldh,Lactate dehydrogenase (Ldh) encodes a protein involved in myoblast fusion and somatic muscle development.
FBgn0004513,Mdr65,Multi drug resistance 65 (Mdr65) encodes a member of the MRP/ABCC subfamily of ATP-binding cassette (ABC) transporters. It is involved in humoral/CNS barrier drug exclusion and response to insecticide.
FBgn0020765,Acp65Aa,"Adult cuticle protein 65Aa (Acp65Aa) encodes an adult-specific cuticle protein. Acp65Aa binds chitin and is only found in regions of flexible cuticle such as the abdominal intersegmental membranes, wing hinges and leg joints."
FBgn0035679,Galm2,Galactose mutarotase 2 (Galm2) encodes a putative enzyme that is predicted to catalyze the interconversion of beta-D-galactose and alpha-D-galactose. It is predicted to be involved in galactose metabolism.
FBgn0002638,Rcc1,"Regulator of chromosome condensation 1 (Rcc1) encodes the guanine-nucleotide exchange factor for the product of Ran. It promotes the nucleo-cytoplasmic shuttling of specific proteins and regulates chromatin condensation. The roles of Rcc1 product include cell proliferation, cell survival, apoptosis, epigenetic regulation, and neuronal specification."
FBgn0052412,QC,Glutaminyl cyclase (QC) encodes a glutaminyl-peptide cyclotransferase involved in peptidyl-pyroglutamic acid biosynthesis.
FBgn0035644,PolE2,DNA polymerase epsilon subunit 2 (PolE2) encodes a non-catalytic subunit of the major replicative polymerase epsilon. It is involved in the regulation of DNA endoreduplication.
FBgn0035625,Blimp-1,Blimp-1 (Blimp-1) encodes a zinc finger transcription repressor that is induced by 20-hydroxylecdysone and plays important roles for metamorphosis. It also contributes to embryonic trachea formation.
FBgn0035631,Txl,Thioredoxin-like (Txl) encodes a protein predicted to be involved in the cell redox homeostasis.
FBgn0035640,mad2,"mad2 (mad2) encodes a conserved component of the spindle checkpoint. During mitosis, it is recruited to unattached kinetochores, where it binds the products of Mad1 and fzy, promoting the assembly of the mitotic checkpoint complex. During interphase, the product of mad2 is intranuclear, bound to the product of Mad1, and associated primarily with the nuclear pore complex."
FBgn0035627,Sse,"Separase (Sse) encodes an endoprotease. Together with the product of thr, it forms a complex which cleaves a subunit of the cohesin complex during meiosis, thereby allowing separation of the sister chromatids."
FBgn0003486,spo,"spook (spo) encodes a cytochrome P450 involved in ecdysteroid biosynthesis in the embryo. spo mutants fail to undergo head involution, dorsal closure or to secrete cuticle."
FBgn0029118,ScsbetaG,"Succinyl-coenzyme G synthetase beta subunit, GDP-forming (ScsbetaG) encodes the GDP-binding subunit of the heterodimeric mitochondrial succinate-CoA ligase complex that catalyzes the fifth step of the tricarboxylic acid (TCA) cycle. The complex hydrolyzes succinyl-CoA into succinate and CoA, coupled to the synthesis of GTP."
FBgn0035610,Lkr,"Leucokinin receptor (Lkr) encodes a 7-transmembrane domain G-protein-coupled receptor (GPCR) with the product of Lk as a ligand. It signals through intracellular calcium, and is implicated in ion regulation by the Malpighian tubules and in feeding control."
FBgn0035608,blanks,blanks (blanks) encodes a nuclear siRNA binding protein expressed in spermatocytes. It contributes to sperm individualization and chromatin silencing regulation.
FBgn0035604,Ir64a,Ionotropic receptor 64a (Ir64a) encodes a member of the Ionotropic Receptor (IR) family of variant ionotropic glutamate receptors. It is part of a broad-specificity acid sensor that mediates avoidance behavior.
FBgn0035601,Uev1A,"Ubiquitin-conjugating enzyme variant 1A (Uev1A) encodes a conserved protein that contributes to ubiquitin conjugating enzyme activity, but not catalytically, since it lacks the conserved cysteine residue essential for ubiquitin conjugation. It regulates genomic integrity, IMD pathway-mediated innate immunity, JNK-pathway mediated cell death and tumor invasion."
FBgn0004380,Klp64D,Kinesin-like protein at 64D (Klp64D) encodes the kinesin-2alpha motor subunit of the heterotrimeric kinesin-2. It associates with the products of Klp68D and Kap3. It plays an essential role in sensory cilia assembly and axonal transport.
FBgn0035589,CHMP2B,Charged multivesicular body protein 2b (CHMP2B) encodes an ESCRT-III component. It plays an important role in the generation of multivesicular bodies in the endosomal lysosomal pathway. It is also considered to play an important role in autophagosome maturation.
FBgn0035587,Gdap1,"Gdap1 (Gdap1) encodes a transmembrane protein of the outer mitochondrial membrane. Dysregulation of Gdap1 expression has been related to mitochondrial dynamics, oxidative stress and neuromuscular degeneration."
FBgn0035590,Tcs5,"Threonyl-carbamoyl synthesis 5 (Tcs5) encodes an atypical Ser/Thr kinase part of the KEOPS/EKC complex. It phosphorylates the product of p53 and is regulated by the products of Akt and Rab35. It is involved in tRNAs modification, telomere and chromatin dynamics."
FBgn0020369,Rpt6,"Regulatory particle triple-A ATPase 6 (Rpt6) encodes a subunit of the proteasome, which is responsible for the ATP-dependent degradation of obsolete or damaged proteins. Rpt6 product belongs to the heterohexameric ring formed by triple-A ATPases that unfolds ubiquitinated target proteins before their degradation."
FBgn0011710,Septin1,"Septin 1 (Septin1) encodes a member of the septin family of GTP-binding proteins. Septins form hetero-oligomeric filaments and rings that associate with filamentous actin. Septin1, together with Septin5 and pnut, is required for the bundling of actin filaments into compact cytoskeleton cables during dorsoventral wing adhesion."
FBgn0003423,slgA,sluggish A (slgA) encodes a mitochondrial proline dehydrogenase that catalyzes the conversion of L-proline to pyrroline-5-carboxylate which is the first in L-proline catabolism to L-glutamate.
FBgn0020272,mst,misato (mst) encodes a conserved protein that acts as a co-factor of the TCP-1 tubulin chaperone complex. It is required for mitotic spindle assembly and viability and for tubulin polymerization and stability.
FBgn0029067,Ctdnep1,CTD nuclear envelope phosphatase 1 (Ctdnep1) encodes a putative protein phosphatase of the Haloacid Dehalogenase family. It has a negative effect on BMP signaling-dependent wing vein formation.
FBgn0031145,Ntf-2,Nuclear transport factor-2 (Ntf-2) is an essential gene regulating nuclear import. It encodes a protein that binds to the nuclear pore protein encoded by DCTN4-p62 and to the product of Ran and regulates the nuclear import of nuclear localization signal containing proteins.
FBgn0031148,Cbs,Cystathionine beta-synthase (Cbs) encodes an enzyme involved in endoplasmic reticulum stress response.
FBgn0031149,Stt3A,Catalytic subunit 3A of the oligosaccharyltransferase complex (Stt3A) encodes the catalytic subunit of the endoplasmic reticulum oligosaccharyltransferase complex A (OSTA) that catalyzes the co-translational transfer of the dolichol-linked oligosaccharide precursor to Asn residues within the motif Asn-X-Ser/Thr of selected proteins. This step is part of the protein N-glycosylation pathway.
FBgn0031114,cactin,"cactin (cactin) encodes a conserved protein that functions in the Rel-NFkB pathway, possibly by controlling the stability of the product of cact."
FBgn0031117,GstT3,Glutathione S transferase T3 (GstT3) encodes an enzyme involved in glutathione metabolic processes.
FBgn0026323,Tak1,"TGF-beta activated kinase 1 (Tak1) encodes a MAP kinase kinase kinase that functions downstream of the products of imd, Fadd and Diap2. It also functions upstream of the IKK complex in the Imd pathway, a pathway regulating the antibacterial response and other less characterized cellular processes. Upon activation the product of imd, the product of Tak1 can also activate the JNK pathway at the level of the JNK Kinase encoded by bsk in certain cell types. It is also an intracellular signaling component of the Grindelwald-Eiger pathway."
FBgn0031106,Syx16,Syntaxin 16 (Syx16) encodes a member of the soluble N-ethylmaleimide sensitive factor attachment protein receptor (SNARE) family. It is localized to late Golgi compartments and is part of a trans-SNARE complex responsible for endosome-to-Golgi/trans Golgi network retrograde transport.
FBgn0014395,tilB,"touch insensitive larva B (tilB) encodes a protein required for the assembly and/or transport to the cilium of axonemal dynein arms. tilB depletion results in deafness and male sterility because it specifically affects chordotonal neurons and spermatids, the only fly motile cilia cells. It interacts with the product of Zmynd10, which has a similar distribution and mutant phenotype."
FBgn0031621,Elba3,Early boundary activity 3 (Elba3) encodes a chromatin boundary factor involved in the regulation of chromatin silencing.
FBgn0031640,Mon1,"Monensin sensitivity 1 (Mon1) encodes a protein that forms a complex with the product of Ccz1 and acts as an exchange factor of the small G-protein encoded by Rab7. It activates and recruits the product of Rab7 to the maturing endosome, inducing the fusion of the matured endosome with the lysosome. Mon1/Ccz1 complex loss of function results in Rab7 phenotypes."
FBgn0051660,smog,smog (smog) encodes a G-protein-coupled receptor with a key role in gastrulation. It contributes to cell intercalation and apical constriction via myosin II activation.
FBgn0031634,Ir25a,Ionotropic receptor 25a (Ir25a) encodes a member of the Ionotropic Receptor (IR) family of variant ionotropic glutamate receptors. It functions as co-receptor subunit in chemosensation and thermosensation.
FBgn0028482,bdl,borderless (bdl) encodes a cell adhesion molecule that is required for glial extension and axon ensheathment. Its down-regulation by the products of tutl and Lar is required for photoreceptor axonal tiling and layer-specific target selection.
FBgn0020762,Atet,ABC transporter expressed in trachea (Atet) encodes a protein that is involved in transmembrane transport.
FBgn0026319,Traf4,"TNF-receptor-associated factor 4 (Traf4) encodes an adapter protein thought to bind the TNF receptor and activate downstream signaling. However, it also has TNF independent roles, especially with respect to morphogenesis. The product of Traf4 interacts with and localizes polarity and adherens junction proteins such as the products of baz and arm respectively. It is required for normal embryonic development, cell death, and cell growth."
FBgn0027560,Tps1,Trehalose-6-phosphate synthase 1 (Tps1) encodes the trehalose synthesis enzyme with an N-terminal trehalose-6-phosphate (T6P) synthase domain that catalyzes the production of T6P using glucose-6-phosphate and UDP-glucose. Its C-terminal T6P phosphatase domain dephosphorylates T6P to generate trehalose.
FBgn0031604,Elp3,"Elongator complex protein 3 (Elp3) encodes a Lysine (K) acetyltransferase (KAT) that resides primarily in the cytoplasm of neurons. It acetylates the product of brp in an opposite reaction to the product of HDAC6 to regulate T-bar morphology and function, and unlike most  KATs it does not acetylate histones."
FBgn0031613,HP6,Heterochromatin protein 6 (HP6) encodes a chromo shadow domain protein involved in telomere capping.
FBgn0011603,ine,"inebriated (ine) encodes a protein that belongs to the SLC6A family of neurotransmitter transporters. It is involved in the control of photoreceptor potential, perineurial glial growth and the osmotic stress response. It also acts in the peripheral glia to control motor neuron excitability in third instar larvae."
FBgn0027609,morgue,"modifier of rpr and grim, ubiquitously expressed (morgue) encodes an F box/ubiquitin conjugase domain protein. It regulates cell death by controlling the levels of the apoptosis inhibitor encoded by Diap1."
FBgn0031598,Vps53,Vacuolar protein sorting 53 (Vps53) encodes a predicted component of the Golgi-Associated Retrograde Protein (GARP) complex. It is important for secretory granule maturation and for preventing early degradation of these granules.
FBgn0000547,ed,"echinoid (ed) encodes a cell adhesion molecule of adherens junctions that mediate cell adhesion/recognition. It participates in multiple signaling pathways including Egfr, Notch and Hippo during organogenesis. It is also required in multiple steps of dorsal closure during embryogenesis."
FBgn0001075,ft,fat (ft) is a tumor suppressor gene that encodes a large cadherin family transmembrane protein. It functions in the Hippo signaling pathway (as a receptor) and the Dachsous-Fat planar cell polarity pathway (as a transmembrane component).
FBgn0031589,Naprt,Nicotinate phosphoribosyltransferase (Naprt) encodes an enzyme that catalyzes the ATP-dependent synthesis of nicotinate beta-D-ribonucleotide (NaMN) from nicotinate and 5-phospho-alpha-D-ribose 1-diphosphate (PRPP). It is involved in the first step of the NAD(+) salvage pathway from nicotinate.
FBgn0026394,Or24a,Odorant receptor 24a (Or24a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0004893,bowl,brother of odd with entrails limited (bowl) encodes a member of the Odd-skipped (Odd) family of zinc finger proteins involved in developmental patterning and cell fate specification. Its localization in the nucleus is regulated by the nuclear protein encoded by lin and the the product of drm with opposing roles.
FBgn0031571,bark,bark beetle (bark) encodes a putative transmembrane scavenger receptor-like protein that is essential for the maturation of septate junctions (SJ). Loss of bark produces cell adhesion defects and mislocalization of SJ core complexes.
FBgn0003430,slp1,"sloppy paired 1 (slp1) encodes a transcription factor of the fork-head family that functions by interacting with the corepressor encoded by gro. The product of slp1 regulates a wide variety of developmental processes including embryonic segmentation, ventral fate specification in the retina, and temporal patterning of the neuroblasts that produce medulla neurons."
FBgn0004567,slp2,"sloppy paired 2 (slp2) encodes a transcription factor of the fork-head family. Together with the product of slp1, it regulates a wide variety of developmental processes including embryonic segmentation, ventral fate specification in the retina, and temporal patterning of the neuroblasts that produce medulla neurons."
FBgn0051774,fred,friend of echinoid (fred) encodes a protein involved in cuticle biosynthesis and ommatidial rotation.
FBgn0000256,capu,cappuccino (capu) encodes a formin family protein that nucleates actin filaments and accelerates their elongation. It works with the product of spir to build an actin mesh that fills the oocyte during mid-oogenesis. capu is necessary for polarity establishment and female fertility.
